Date,Close
1/2/19 16:00,8.05
1/3/19 16:00,8.06
1/4/19 16:00,8.23
1/7/19 16:00,8.74
1/8/19 16:00,8.56
1/9/19 16:00,8.5
1/10/19 16:00,8.94
1/11/19 16:00,8.94
1/14/19 16:00,8.9
1/15/19 16:00,8.73
1/16/19 16:00,8.98
1/17/19 16:00,9.14
1/18/19 16:00,9.06
1/22/19 16:00,8.66
1/23/19 16:00,8.73
1/24/19 16:00,8.78
1/25/19 16:00,9.16
1/28/19 16:00,8.93
1/29/19 16:00,8.9
1/30/19 16:00,9.1
1/31/19 16:00,10.16
2/1/19 16:00,10.19
2/4/19 16:00,10.21
2/5/19 16:00,10.63
2/6/19 16:00,10.47
2/7/19 16:00,10.06
2/8/19 16:00,9.81
2/11/19 16:00,10.03
2/12/19 16:00,9.98
2/13/19 16:00,10.37
2/14/19 16:00,10.04
2/15/19 16:00,10.09
2/19/19 16:00,10.13
2/20/19 16:00,10.1
2/21/19 16:00,10.03
2/22/19 16:00,10.17
2/25/19 16:00,10.82
2/26/19 16:00,10.66
2/27/19 16:00,10.88
2/28/19 16:00,10.39
3/1/19 16:00,10.27
3/4/19 16:00,10.38
3/5/19 16:00,9.89
3/6/19 16:00,9.11
3/7/19 16:00,9.45
3/8/19 16:00,9.58
3/11/19 16:00,9.9
3/12/19 16:00,9.76
3/13/19 16:00,10.02
3/14/19 16:00,10.3
3/15/19 16:00,9.96
3/18/19 16:00,10.2
3/19/19 16:00,10.19
3/20/19 16:00,10.22
3/21/19 16:00,10.27
3/22/19 16:00,9.98
3/25/19 16:00,9.88
3/26/19 16:00,10.1
3/27/19 16:00,9.96
3/28/19 16:00,9.89
3/29/19 16:00,9.99
4/1/19 16:00,10.1
4/2/19 16:00,10.24
4/3/19 16:00,10.1
4/4/19 16:00,10.03
4/5/19 16:00,10.01
4/8/19 16:00,9.49
4/9/19 16:00,9.22
4/10/19 16:00,9.16
4/11/19 16:00,9.12
4/12/19 16:00,9
4/15/19 16:00,8.98
4/16/19 16:00,9.14
4/17/19 16:00,9.12
4/18/19 16:00,9.35
4/22/19 16:00,9.32
4/23/19 16:00,9.33
4/24/19 16:00,9.32
4/25/19 16:00,9.12
4/26/19 16:00,9.57
4/29/19 16:00,9.73
4/30/19 16:00,10.17
5/1/19 16:00,10.1
5/2/19 16:00,10.25
5/3/19 16:00,10.5
5/6/19 16:00,10.43
5/7/19 16:00,10.11
5/8/19 16:00,10.16
5/9/19 16:00,10.04
5/10/19 16:00,10.13
5/13/19 16:00,9.87
5/14/19 16:00,10.32
5/15/19 16:00,10.26
5/16/19 16:00,10.13
5/17/19 16:00,10
5/20/19 16:00,9.88
5/21/19 16:00,9.96
5/22/19 16:00,9.9
5/23/19 16:00,9.56
5/24/19 16:00,9.45
5/28/19 16:00,9.36
5/29/19 16:00,9.37
5/30/19 16:00,9.47
5/31/19 16:00,9.44
6/3/19 16:00,9.53
6/4/19 16:00,10
6/5/19 16:00,9.89
6/6/19 16:00,9.92
6/7/19 16:00,9.98
6/10/19 16:00,10.05
6/11/19 16:00,10.12
